,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
178,Pawn Sacrifice,(2014),PG-13,115 min,"Biography, Drama, History",7.0,65        ,"Set during the Cold War, American chess prodigy Bobby Fischer finds himself caught between two superpowers and his own struggles as he challenges the Soviet Empire.",['Edward Zwick'],"['Tobey Maguire', 'Liev Schreiber', 'Peter Sarsgaard', 'Michael Stuhlbarg']","47,465",$2.44M
179,The Bounty,(1984),PG,132 min,"Adventure, Drama, History",7.0,62        ,"Fed up with their Captain's harsh discipline, a sailing ship's crew decides to take action.",['Roger Donaldson'],"['Mel Gibson', 'Anthony Hopkins', 'Laurence Olivier', 'Edward Fox']","28,580",$8.60M
180,American Animals,(2018),R,116 min,"Biography, Crime, Drama",7.0,68        ,Four young men mistake their lives for a movie and attempt one of the most audacious heists in U.S. history.,['Bart Layton'],"['Spencer Reinhard', 'Warren Lipka', 'Eric Borsuk', 'Chas Allen']","46,993",$2.86M
181,The Zookeeper's Wife,(2017),PG-13,127 min,"Biography, Drama, History",7.0,57        ,"Keepers of the Warsaw Zoo, Antonina and Jan Zabinski, must save hundreds of people and animals during the Nazi invasion in WWII Poland.",['Niki Caro'],"['Jessica Chastain', 'Johan Heldenbergh', 'Daniel Brühl', 'Timothy Radford']","44,867",$17.45M
182,Ip Man 3,(2015),PG-13,105 min,"Action, Biography, Drama",7.0,57        ,"When a band of brutal gangsters led by a crooked property developer make a play to take over a local school, Master Ip is forced to take a stand.",['Wilson Yip'],"['Donnie Yen', 'Lynn Xiong', 'Jin Zhang', 'Mike Tyson']","57,911",$2.68M
183,Kundun,(1997),PG-13,134 min,"Biography, Drama, History",7.0,74        ,"From childhood to adulthood, Tibet's fourteenth Dalai Lama deals with Chinese oppression and other problems.",['Martin Scorsese'],"['Tenzin Thuthob Tsarong', 'Gyurme Tethong', 'Tulku Jamyang Kunga Tenzin', 'Tenzin Yeshi Paichang']","29,245",$5.53M
184,Breach,(2007),PG-13,110 min,"Biography, Crime, Drama",7.0,74        ,"FBI upstart Eric O'Neill enters into a power game with his boss, Robert Hanssen, an agent who was put on trial for selling secrets to the Soviet Union.",['Billy Ray'],"['Chris Cooper', 'Ryan Phillippe', 'Dennis Haysbert', 'Laura Linney']","60,677",$33.23M
185,The Water Diviner,(2014),R,111 min,"Drama, History, War",7.0,50        ,An Australian man travels to Turkey after the Battle of Gallipoli to try to locate his three missing sons.,['Russell Crowe'],"['Russell Crowe', 'Olga Kurylenko', 'Jai Courtney', 'Isabel Lucas']","76,726",$4.19M
186,Padmaavat,(2018),Not Rated,164 min,"Drama, History, Romance",7.0,63        ,"Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar.",['Sanjay Leela Bhansali'],"['Deepika Padukone', 'Ranveer Singh', 'Shahid Kapoor', 'Aditi Rao Hydari']","34,613",$11.85M
187,Bobby,(I) (2006),R,117 min,"Biography, Drama, History",7.0,54        ,"The story of the assassination of U.S. Senator Robert F. Kennedy, who was shot in the early morning hours of June 5, 1968 in the Ambassador Hotel in Los Angeles, California, and twenty-two people in the hotel, whose lives were never the same.",['Emilio Estevez'],"['Anthony Hopkins', 'Demi Moore', 'Sharon Stone', 'Harry Belafonte']","42,424",$11.24M
188,The Warlords,(2007),R,126 min,"Action, Adventure, Drama",7.0,70        ,"China, 1860s: Having his army slaughtered, General Qingyun joins 2 bandit leaders in raids on rebels and in blood oath. They form a Qing loyal army with eyes on rebel held Suzhou and Nanjing.","['Peter Ho-Sun Chan', 'Wai-Man Yip']","['Jet Li', 'Andy Lau', 'Takeshi Kaneshiro', 'Jinglei Xu']","27,382",$0.13M
