,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
189,First Man,(2018),PG-13,141 min,"Biography, Drama, History",7.3,84        ,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",['Damien Chazelle'],"['Ryan Gosling', 'Claire Foy', 'Jason Clarke', 'Kyle Chandler']","193,917",$44.94M
190,The Basketball Diaries,(1995),R,102 min,"Biography, Crime, Drama",7.3,46        ,A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.,['Scott Kalvert'],"['Leonardo DiCaprio', 'Lorraine Bracco', 'Marilyn Sokol', 'James Madio']","115,906",$2.42M
191,Heavenly Creatures,(1994),R,99 min,"Biography, Crime, Drama",7.3,86        ,"Two teenage girls share a unique bond; their parents, concerned that the friendship is too intense, separate them, and the girls take revenge.",['Peter Jackson'],"['Melanie Lynskey', 'Kate Winslet', 'Sarah Peirse', 'Diana Kent']","65,678",$3.05M
192,Belfast,(2021),PG-13,98 min,"Biography, Drama",7.3,75        ,A young boy and his working-class Belfast family experience the tumultuous late 1960s.,['Kenneth Branagh'],"['Jude Hill', 'Lewis McAskie', 'Caitríona Balfe', 'Jamie Dornan']","80,993",-
193,"Good Morning, Vietnam",(1987),R,121 min,"Biography, Comedy, Drama",7.3,67        ,"In 1965, an unorthodox and irreverent DJ named Adrian Cronauer begins to shake up things when he is assigned to the U.S. Armed Services radio station in Vietnam.",['Barry Levinson'],"['Robin Williams', 'Forest Whitaker', 'Tom. T. Tran', 'Chintara Sukapatana']","146,824",$123.92M
194,The Disaster Artist,(2017),R,104 min,"Biography, Comedy, Drama",7.3,76        ,"When aspiring actor Greg Sestero meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true.",['James Franco'],"['James Franco', 'Dave Franco', 'Ari Graynor', 'Seth Rogen']","158,820",$21.12M
195,Snowden,(2016),R,134 min,"Biography, Crime, Drama",7.3,58        ,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press.",['Oliver Stone'],"['Joseph Gordon-Levitt', 'Shailene Woodley', 'Melissa Leo', 'Zachary Quinto']","156,926",$21.59M
196,Official Secrets,(2019),R,112 min,"Biography, Crime, Drama",7.3,63        ,The true story of a British whistleblower who leaked information to the press about an illegal NSA spy operation designed to push the UN Security Council into sanctioning the 2003 invasion of Iraq.,['Gavin Hood'],"['Keira Knightley', 'Matt Smith', 'Matthew Goode', 'Rhys Ifans']","50,857",$0.40M
197,Amistad,(1997),R,155 min,"Biography, Drama, History",7.3,63        ,"In 1839, the revolt of Mende captives aboard a Spanish owned ship causes a major controversy in the United States when the ship is captured off the coast of Long Island. The courts must decide whether the Mende are slaves or legally free.",['Steven Spielberg'],"['Djimon Hounsou', 'Matthew McConaughey', 'Anthony Hopkins', 'Morgan Freeman']","80,042",$44.18M
198,This Boy's Life,(1993),R,115 min,"Biography, Drama",7.3,60        ,"The story about the relationship between a rebellious 1950s teenager and his abusive stepfather, based on the memoirs of writer and literature Professor Tobias Wolff.",['Michael Caton-Jones'],"['Robert De Niro', 'Leonardo DiCaprio', 'Ellen Barkin', 'Jonah Blechman']","55,696",$4.10M
