,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
208,Dangerous Liaisons,(1988),R,119 min,"Drama, Romance",7.6,74        ,A scheming widow and her manipulative ex-lover make a bet regarding the corruption of a recently married woman.,['Stephen Frears'],"['Glenn Close', 'John Malkovich', 'Michelle Pfeiffer', 'Swoosie Kurtz']","72,683",$34.70M
209,Match Point,(2005),R,124 min,"Drama, Romance, Thriller",7.6,72        ,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",['Woody Allen'],"['Scarlett Johansson', 'Jonathan Rhys Meyers', 'Emily Mortimer', 'Matthew Goode']","222,568",$23.09M
210,Sabrina,(1954),Passed,113 min,"Comedy, Drama, Romance",7.6,72        ,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",['Billy Wilder'],"['Humphrey Bogart', 'Audrey Hepburn', 'William Holden', 'Walter Hampden']","67,537",-
211,The Bridges of Madison County,(1995),PG-13,135 min,"Drama, Romance",7.6,69        ,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,['Clint Eastwood'],"['Clint Eastwood', 'Meryl Streep', 'Annie Corley', 'Victor Slezak']","85,047",$71.52M
212,From Here to Eternity,(1953),Passed,118 min,"Drama, Romance, War",7.6,85        ,"At a U.S. Army base in 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his commanding officer's wife and top aide begin a tentative affair.",['Fred Zinnemann'],"['Burt Lancaster', 'Montgomery Clift', 'Deborah Kerr', 'Donna Reed']","48,899",$30.50M
213,50/50,(2011),R,100 min,"Comedy, Drama, Romance",7.6,72        ,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",['Jonathan Levine'],"['Joseph Gordon-Levitt', 'Seth Rogen', 'Anna Kendrick', 'Bryce Dallas Howard']","336,193",$35.01M
214,Victoria,(II) (2015),Not Rated,138 min,"Crime, Drama, Romance",7.6,77        ,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,['Sebastian Schipper'],"['Laia Costa', 'Frederick Lau', 'Franz Rogowski', 'Burak Yigit']","60,732",-
215,Weekend,(II) (2011),Not Rated,97 min,"Drama, Romance",7.6,81        ,"After a drunken house party with his straight mates, Russell heads out to a gay club. Just before closing time he picks up Glen but what's expected to be just a one-night stand becomes something else, something special.",['Andrew Haigh'],"['Tom Cullen', 'Chris New', 'Jonathan Race', 'Laura Freeman']","31,392",$0.46M
216,The Shootist,(1976),PG,100 min,"Drama, Romance, Western",7.6,77        ,A dying gunfighter spends his last days looking for a way to die with a minimum of pain and a maximum of dignity.,['Don Siegel'],"['John Wayne', 'Lauren Bacall', 'Ron Howard', 'James Stewart']","25,733",-
217,Victor/Victoria,(1982),PG,134 min,"Comedy, Music, Romance",7.6,84        ,"A struggling female soprano finds work playing a male female impersonator, but it complicates her personal life.",['Blake Edwards'],"['Julie Andrews', 'James Garner', 'Robert Preston', 'Lesley Ann Warren']","22,615",$21.93M
218,Three Colors: White,(1994),R,92 min,"Comedy, Drama, Romance",7.6,91        ,"After his wife divorces him, a Polish immigrant plots to get even with her.",['Krzysztof Kieslowski'],"['Zbigniew Zamachowski', 'Julie Delpy', 'Janusz Gajos', 'Jerzy Stuhr']","76,451",$1.46M
219,Vampire Hunter D: Bloodlust,(2000),R,103 min,"Animation, Action, Drama",7.6,62        ,"A legendary dhampir competes with a motley family of bounty hunters to return a young woman, who has been seemingly abducted by a vampire, to her family.","['Jack Fletcher', 'Yoshiaki Kawajiri']","['Andrew Philpot', 'John Rafter Lee', 'Pamela Adlon', 'Wendee Lee']","33,523",$0.15M
220,Gilda,(1946),Approved,110 min,"Drama, Film-Noir, Romance",7.6,-,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,['Charles Vidor'],"['Rita Hayworth', 'Glenn Ford', 'George Macready', 'Joseph Calleia']","33,576",-
221,A Very Long Engagement,(2004),R,133 min,"Drama, Mystery, Romance",7.6,76        ,"Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",['Jean-Pierre Jeunet'],"['Audrey Tautou', 'Gaspard Ulliel', 'Jodie Foster', 'Dominique Pinon']","74,849",$6.17M
222,La Vie En Rose,(2007),PG-13,140 min,"Biography, Drama, Music",7.6,66        ,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",['Olivier Dahan'],"['Marion Cotillard', 'Sylvie Testud', 'Pascal Greggory', 'Emmanuelle Seigner']","88,873",$10.30M
223,Shine,(1996),PG-13,105 min,"Biography, Drama, Music",7.6,87        ,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.",['Scott Hicks'],"['Geoffrey Rush', 'Armin Mueller-Stahl', 'Justin Braine', 'Sonia Todd']","55,337",$35.81M
224,Shelter,(II) (2007),R,97 min,"Drama, Romance, Sport",7.6,66        ,"When his college dreams are sidelined by family obligations, a young man finds comfort in surfing with his best friend's brother.",['Jonah Markowitz'],"['Trevor Wright', 'Brad Rowe', 'Tina Holmes', 'Jackson Wurth']","23,299",$0.14M
225,Only Yesterday,(1991),PG,119 min,"Animation, Drama, Romance",7.6,90        ,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,['Isao Takahata'],"['Miki Imai', 'Toshirô Yanagiba', 'Yoko Honna', 'Mayumi Izuka']","34,482",$0.45M
226,The Man Without a Past,(2002),PG-13,97 min,"Comedy, Drama, Romance",7.6,84        ,"M arrives in Helsinki only to be viciously attacked by thugs and pronounced dead by medics. He revives but with no memory of his past or his identity. He rebuilds his life from scratch, but the past inevitably catches up with him.",['Aki Kaurismäki'],"['Markku Peltola', 'Kati Outinen', 'Annikki Tähti', 'Juhani Niemelä']","24,132",$0.92M
227,Beautiful Thing,(1996),R,90 min,"Comedy, Drama, Romance",7.6,-,"Jamie is a shy teenager, often bullied at school. His neighbour Ste has a rough time at home, being beaten by his father and brother. This issues bring them together and they find that what they feel for each other is more than friendship.",['Hettie Macdonald'],"['Glen Berry', 'Linda Henry', 'Scott Neal', 'Tameka Empson']","24,996",$1.50M
228,Laurence Anyways,(2012),Not Rated,168 min,"Drama, Romance",7.6,73        ,A drama that charts ten years in a transgender woman's relationship with her lover.,['Xavier Dolan'],"['Melvil Poupaud', 'Emmanuel Schwartz', 'Suzanne Clément', 'Nathalie Baye']","21,343",-
229,The Red Violin,(1998),R,130 min,"Drama, Music, Mystery",7.6,57        ,"A red-colored violin inspires passion, making its way through three centuries over several owners and countries, eventually ending up at an auction where it may find a new owner.",['François Girard'],"['Carlo Cecchi', 'Jean-Luc Bideau', 'Christoph Koncz', 'Jason Flemyng']","33,770",$9.47M
230,Mutiny on the Bounty,(1935),Passed,132 min,"Adventure, Biography, Drama",7.6,87        ,"First mate Fletcher Christian leads a revolt against his sadistic commander, Captain Bligh, in this classic seafaring adventure, based on the real-life 1789 mutiny.",['Frank Lloyd'],"['Charles Laughton', 'Clark Gable', 'Franchot Tone', 'Herbert Mundin']","23,999",-
231,In a Better World,(2010),R,118 min,"Drama, Romance",7.6,65        ,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",['Susanne Bier'],"['Mikael Persbrandt', 'Trine Dyrholm', 'Markus Rygaard', 'Wil Johnson']","40,815",$1.01M
232,Highway,(I) (2014),Not Rated,133 min,"Crime, Drama, Romance",7.6,40        ,"Right before her wedding, a young woman finds herself abducted and held for ransom. As the initial days pass, she begins to develop a strange bond with her kidnapper.",['Imtiaz Ali'],"['Alia Bhatt', 'Randeep Hooda', 'Durgesh Kumar', 'Pradeep Nagar']","29,614",$0.53M
233,Baazigar,(1993),Not Rated,175 min,"Crime, Drama, Musical",7.6,-,"A young man with a vendetta against a business tycoon seduces the man's younger daughter, but she begins to suspect her new lover's connection with her elder sister and his ulterior motive.","['Abbas Alibhai Burmawalla', 'Mastan Alibhai Burmawalla']","['Shah Rukh Khan', 'Kajol', 'Dalip Tahil', 'Rakhee Gulzar']","29,032",-
234,The Magnificent Ambersons,(1942),Not Rated,88 min,"Drama, Romance",7.6,93        ,The spoiled young heir to the decaying Amberson fortune comes between his widowed mother and the man she has always loved.,"['Orson Welles', 'Fred Fleck', 'Robert Wise']","['Tim Holt', 'Joseph Cotten', 'Dolores Costello', 'Anne Baxter']","25,705",-
235,"Play It Again, Sam",(1972),PG,85 min,"Comedy, Romance",7.6,77        ,"A neurotic film critic obsessed with the movie Casablanca (1942) attempts to get over his wife leaving him by dating again with the help of a married couple and his illusory idol, Humphrey Bogart.",['Herbert Ross'],"['Woody Allen', 'Diane Keaton', 'Tony Roberts', 'Jerry Lacy']","27,204",$2.30M
236,Control,(2003),R,111 min,"Comedy, Crime, Drama",7.6,72        ,"A tale about a strange young man, Bulcsú, the fellow inspectors on his team, all without exception likable characters, a rival ticket inspection team and racing along the tracks - and a tale about love.",['Nimród Antal'],"['Sándor Csányi', 'Eszter Balla', 'Zoltán Mucsi', 'Csaba Pindroch']","26,415",$0.24M
237,Darr,(1993),Not Rated,178 min,"Action, Drama, Romance",7.6,-,A woman plans to marry a navy officer but she is also the object of another man's obsession.,['Yash Chopra'],"['Juhi Chawla', 'Sunny Deol', 'Shah Rukh Khan', 'Anupam Kher']","24,543",-
238,Raanjhanaa,(2013),Not Rated,140 min,"Drama, Romance",7.6,-,"Kundan, the son of a Hindu pundit, discovers that his childhood sweetheart Zoya loves city-bred Akram and wants to marry him. However, he persistently seeks to win her heart.",['Aanand L. Rai'],"['Dhanush', 'Sonam Kapoor', 'Mohd. Zeeshan Ayyub', 'Swara Bhasker']","33,538",$0.88M
239,Pyaar Ka Punchnama,(2011),Not Rated,149 min,"Comedy, Drama, Romance",7.6,-,Nishant starts dating Charu while his roommates Rajat and Vikrant already have girlfriends in Neha and Rhea respectively. Trouble starts when the guys feel that their girlfriends are dominating them.,['Luv Ranjan'],"['Kartik Aaryan', 'Ashish Chhipa', 'Raayo S. Bakhirta', 'Divyendu Sharma']","22,187",-
