,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
10,Oldboy,(2003),R,120 min,"Action, Drama, Mystery",8.4,77        ,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",['Park Chan-wook'],"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']","597,107",$0.71M
11,Memento,(2000),R,113 min,"Mystery, Thriller",8.4,81        ,A man with short-term memory loss attempts to track down his wife's murderer.,['Christopher Nolan'],"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']","1,264,763",$25.54M
12,Coco,(I) (2017),PG,105 min,"Animation, Adventure, Comedy",8.4,81        ,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","['Lee Unkrich', 'Adrian Molina']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']","535,622",$209.73M
13,The Lives of Others,(2006),R,137 min,"Drama, Mystery, Thriller",8.4,89        ,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",['Florian Henckel von Donnersmarck'],"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur']","396,921",$11.29M
14,Witness for the Prosecution,(1957),Approved,116 min,"Crime, Drama, Mystery",8.4,76        ,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,['Billy Wilder'],"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester']","129,684",$8.18M
15,High and Low,(1963),Not Rated,143 min,"Crime, Drama, Mystery",8.4,90        ,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,['Akira Kurosawa'],"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai', 'Kyôko Kagawa']","47,898",-
16,North by Northwest,(1959),Approved,136 min,"Action, Adventure, Mystery",8.3,98        ,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",['Alfred Hitchcock'],"['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis']","334,855",$13.28M
17,Incendies,(2010),R,131 min,"Drama, Mystery",8.3,80        ,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,['Denis Villeneuve'],"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Mustafa Kamel']","184,368",$6.86M
18,Vertigo,(1958),PG,128 min,"Mystery, Romance, Thriller",8.3,100        ,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",['Alfred Hitchcock'],"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore']","411,167",$3.20M
19,Citizen Kane,(1941),PG,119 min,"Drama, Mystery",8.3,100        ,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",['Orson Welles'],"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead']","450,983",$1.59M
20,M,(1931),Passed,99 min,"Crime, Mystery, Thriller",8.3,-,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",['Fritz Lang'],"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut', 'Otto Wernicke']","161,810",$0.03M
21,Double Indemnity,(1944),Passed,107 min,"Crime, Drama, Film-Noir",8.3,95        ,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.",['Billy Wilder'],"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Byron Barr']","160,948",$5.72M
