,title,year,certificate,time,genre,rating,metascore,simple_desc,directors,stars,votes,gross
194,The Last Song,(2010),PG,107 min,"Drama, Music, Romance",6.0,33        ,"A rebellious girl is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.",['Julie Anne Robinson'],"['Miley Cyrus', 'Liam Hemsworth', 'Greg Kinnear', 'Bobby Coleman']","90,136",$62.95M
195,Ricki and the Flash,(2015),PG-13,101 min,"Comedy, Drama, Music",6.0,54        ,"A musician who gave up everything for her dream of rock-and-roll stardom returns home, looking to make things right with her family.",['Jonathan Demme'],"['Meryl Streep', 'Kevin Kline', 'Mamie Gummer', 'Sebastian Stan']","24,153",$26.82M
196,Bill & Ted Face the Music,(2020),PG-13,91 min,"Adventure, Comedy, Music",5.9,65        ,"Once told they'd save the universe during a time-traveling adventure, two would-be rockers from San Dimas, California find themselves as middle-aged dads still trying to crank out a hit song and fulfill their destiny.",['Dean Parisot'],"['Keanu Reeves', 'Alex Winter', 'Kristen Schaal', 'Samara Weaving']","50,412",-
197,54,(1998),R,93 min,"Drama, Music",5.9,33        ,The famous 1970s New York City nightclub seen and told through the eyes of a young employee.,['Mark Christopher'],"['Ryan Phillippe', 'Salma Hayek', 'Neve Campbell', 'Mike Myers']","33,874",$16.57M
198,All Eyez on Me,(2017),R,139 min,"Biography, Drama, Music",5.9,38        ,"Tells the true and untold story of prolific rapper, actor, poet and activist Tupac Shakur.",['Benny Boom'],"['Demetrius Shipp Jr.', 'Danai Gurira', 'Kat Graham', 'Annie Ilonzeh']","24,031",$44.92M
199,Step Up All In,(2014),PG-13,112 min,"Drama, Music, Romance",5.9,45        ,"All-stars from the previous Step Up installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers.",['Trish Sie'],"['Ryan Guzman', 'Briana Evigan', 'Adam Sevani', 'Misha Gabriel Hamilton']","35,319",$14.90M
200,Drumline,(2002),PG-13,118 min,"Comedy, Drama, Romance",5.9,63        ,A band director recruits a Harlem street drummer to play at a Southern university.,['Charles Stone III'],"['Nick Cannon', 'Zoe Saldana', 'Orlando Jones', 'Leonard Roberts']","35,381",$56.40M
201,Captain Corelli's Mandolin,(2001),R,131 min,"Drama, Music, Romance",5.9,36        ,"When a fisherman leaves to fight with the Greek army during World War II, his fiancée falls in love with the local Italian commander.",['John Madden'],"['Nicolas Cage', 'Penélope Cruz', 'John Hurt', 'Christian Bale']","35,179",$25.54M
202,Dirty Dancing: Havana Nights,(2004),PG-13,86 min,"Drama, Music, Romance",5.9,39        ,"High school senior Katey moves to Havana in November 1958, when her dad gets a promotion at Ford. She meets a local waiter, who introduces her to sensual Cuban music/dance. They enter a big dance contest for the prize when he gets fired.",['Guy Ferland'],"['Diego Luna', 'Romola Garai', 'Sela Ward', 'John Slattery']","28,838",$14.16M
203,Pitch Perfect 3,(2017),PG-13,93 min,"Comedy, Music",5.8,40        ,"Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices.",['Trish Sie'],"['Anna Kendrick', 'Rebel Wilson', 'Brittany Snow', 'Anna Camp']","67,955",$104.90M
204,Footloose,(2011),PG-13,113 min,"Comedy, Drama, Music",5.8,58        ,"City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.",['Craig Brewer'],"['Kenny Wormald', 'Julianne Hough', 'Dennis Quaid', 'Andie MacDowell']","51,611",$51.80M
205,Happy Feet Two,(2011),PG,100 min,"Animation, Adventure, Comedy",5.8,50        ,"Mumble's son, Erik, is struggling to realize his talents in the Emperor Penguin world. Meanwhile, Mumble and his family and friends discover a new threat their home -- one that will take everyone working together to save them.","['George Miller', 'Gary Eck', 'David Peers']","['Elijah Wood', 'Robin Williams', 'Pink', 'Carlos Alazraqui']","46,306",$64.01M
206,Raise Your Voice,(2004),PG,103 min,"Family, Music, Musical",5.8,33        ,A girl from a small town heads to the big city of Los Angeles to spend the summer at a performing arts high school.,['Sean McNamara'],"['Hilary Duff', 'John Corbett', 'Rebecca De Mornay', 'Oliver James']","28,421",$10.41M
207,Ae Dil Hai Mushkil,(2016),Not Rated,158 min,"Drama, Music, Musical",5.8,40        ,"This story explores love - the shapes it takes, the ways it changes us and the exhilarating and often terrifying ride it takes us on. It is the journey of two characters, Alizeh and Ayan, as they navigate life, love and heartbreak.",['Karan Johar'],"['Ranbir Kapoor', 'Aishwarya Rai Bachchan', 'Anushka Sharma', 'Fawad Khan']","24,482",$4.24M
208,Sister Act 2: Back in the Habit,(1993),PG,107 min,"Comedy, Family, Music",5.7,38        ,Showgirl Deloris Van Cartier returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.,['Bill Duke'],"['Whoopi Goldberg', 'Kathy Najimy', 'Maggie Smith', 'Barnard Hughes']","56,243",$57.32M
209,Coyote Ugly,(2000),PG-13,100 min,"Comedy, Drama, Music",5.7,27        ,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",['David McNally'],"['Piper Perabo', 'Adam Garcia', 'John Goodman', 'Maria Bello']","118,024",$60.79M
210,Last Days,(2005),R,97 min,"Drama, Music",5.7,67        ,A Seattle musician's life and career are reminiscent of those of Kurt Cobain.,['Gus Van Sant'],"['Michael Pitt', 'Lukas Haas', 'Asia Argento', 'Scott Patrick Green']","23,236",$0.45M
211,Magic Mike XXL,(2015),R,115 min,"Comedy, Drama, Music",5.6,60        ,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",['Gregory Jacobs'],"['Channing Tatum', 'Joe Manganiello', 'Matt Bomer', 'Adam Rodriguez']","59,648",$66.01M
212,Josie and the Pussycats,(2001),PG-13,98 min,"Comedy, Music",5.6,47        ,A girl group find themselves in the middle of a conspiracy to deliver subliminal messages through popular music.,"['Harry Elfont', 'Deborah Kaplan']","['Rachael Leigh Cook', 'Tara Reid', 'Rosario Dawson', 'Gabriel Mann']","23,976",$14.25M
213,Be Cool,(2005),PG-13,118 min,"Comedy, Crime, Music",5.6,37        ,"Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music executive on the way.",['F. Gary Gray'],"['John Travolta', 'Uma Thurman', 'Dwayne Johnson', 'Vince Vaughn']","70,967",$56.05M
214,Song to Song,(I) (2017),R,129 min,"Drama, Music, Romance",5.6,54        ,"Two intersecting love triangles. Obsession and betrayal set against the music scene in Austin, Texas.",['Terrence Malick'],"['Ryan Gosling', 'Rooney Mara', 'Michael Fassbender', 'Natalie Portman']","21,656",$0.44M
215,The Lizzie McGuire Movie,(2003),PG,94 min,"Adventure, Comedy, Family",5.5,56        ,"Lizzie McGuire has graduated from middle school and takes a trip to Rome, Italy with her class. And what was supposed to be only a normal trip, becomes a teenager's dream come true.",['Jim Fall'],"['Hilary Duff', 'Adam Lamberg', 'Clayton Snyder', 'Hallie Todd']","40,849",$42.73M
